"project"	"Percentage_mobile"	"Total_pageviews"
"roa-rup.wikipedia"	0	100000
"roa-tara.wikipedia"	0.0255591054313099	313000
"rue.wikipedia"	0.0779816513761468	218000
"sa.wikiquote"	0.233333333333333	30000
"scn.wiktionary"	0.197916666666667	96000
"simple.wikibooks"	0.333333333333333	30000
"sn.wikipedia"	0.230769230769231	117000
"sr.wiktionary"	0.326923076923077	52000
"ta.wikinews"	0.153846153846154	26000
"te.wikisource"	0.597402597402597	77000
"to.wikipedia"	0.111111111111111	54000
"tr.wikinews"	0.172413793103448	29000
"tt.wiktionary"	0.227272727272727	22000
"ty.wikipedia"	0.112903225806452	62000
"uk.wikivoyage"	0.125	32000
"ve.wikipedia"	0.0714285714285714	28000
"vi.wikiquote"	0.426621160409556	293000
"vi.wikivoyage"	0.201923076923077	208000
"vo.wiktionary"	0.25	28000
"wa.wiktionary"	0.0454545454545455	22000
"wo.wikipedia"	0.105882352941176	85000
"xh.wikipedia"	0.072463768115942	69000
"vi.wikibooks"	0.27843137254902	255000
"ml.wiktionary"	0.163265306122449	196000
"ga.wiktionary"	0.5	24000
"ur.wikiquote"	0.142857142857143	21000
"ch.wikipedia"	0.0384615384615385	78000
"glk.wikipedia"	0.137614678899083	109000
"iu.wikipedia"	0.0757575757575758	66000
"kbd.wikipedia"	0.117647058823529	68000
"pih.wikipedia"	0.1	70000
"sa.wiktionary"	0.4	30000
"sg.wikipedia"	0.0945945945945946	74000
"test2.wikipedia"	0.155844155844156	77000
"xal.wikipedia"	0.104938271604938	162000
"koi.wikipedia"	0.173913043478261	69000
"De.wikipedia"	0	23000
"eo.wikinews"	0.08	25000
"da.wikibooks"	0.224489795918367	49000
"fa.wikivoyage"	0.170212765957447	47000
"gl.wikibooks"	0.16	25000
"ik.wikipedia"	0.109090909090909	55000
"no.wikisource"	0.703703703703704	108000
"el.wikivoyage"	0.0645161290322581	31000
"bg.wikibooks"	0.297297297297297	37000
"sk.wikisource"	0.492307692307692	65000
"fa.wikinews"	0.32258064516129	31000
"is.wikibooks"	0.0952380952380952	21000
"is.wikisource"	0.44	25000
"hy.wikibooks"	0.142857142857143	21000
"zh-min-nan.wiktionary"	0.0285714285714286	35000
"nah.wiktionary"	0.217391304347826	23000
"ms.wikibooks"	0.282051282051282	39000
"ff.wikipedia"	0.181818181818182	44000
"af.wikiquote"	0.151515151515152	33000
"no.wikiquote"	0.232558139534884	43000
"hu.wikinews"	0.12	25000
"cy.wiktionary"	0.518987341772152	79000
"ia.wiktionary"	0.0869565217391304	23000
"be.wikisource"	0.333333333333333	24000
"br.wikisource"	0.655172413793103	29000
"eu.wikiquote"	0.214285714285714	28000
"gl.wikiquote"	0.232558139534884	43000
"krc.wikipedia"	0.0693069306930693	101000
"nds.wiktionary"	0.333333333333333	30000
"ne.wikibooks"	0.0555555555555556	72000
"ps.wiktionary"	0.310344827586207	29000
"sr.wikinews"	0.514285714285714	70000
"ta.wikisource"	0.324675324675325	77000
"tn.wikipedia"	0.258620689655172	58000
"cs.wikinews"	0.352941176470588	34000
"tet.wikipedia"	0.147540983606557	122000
"fi.wikiversity"	0	22000
"zu.wikipedia"	0.123456790123457	81000
"eo.wikiquote"	0.258064516129032	31000
"ko.wikiversity"	0.136363636363636	22000
"hi.wikiquote"	0.259259259259259	27000
