"project"	"R2"	"Adjusted_R2"	"Last_Pageviews"
"ar.wikinews"	0.0261649741798226	-0.0346997149339385	41000
"ko.wikibooks"	0.00994191411107811	-0.0519367162569795	74000
"kbd.wikipedia"	0.238977839429104	0.191413954393423	68000
"zea.wikipedia"	0.0562513991493172	-0.00273288840385044	139000
"lo.wikipedia"	0.0266351435992681	-0.0342001599257777	151000
"lt.wikiquote"	0.00134109537246464	-0.0610750861667564	80000
"ru.wikiversity"	0.0419975468895318	-0.0178776064298725	347000
"zu.wikipedia"	0.00312536265390475	-0.0591793021802263	81000
"ab.wikipedia"	0.580298736784827	0.554067407833879	296000
"chr.wikipedia"	0.0123686190034152	-0.0493583423088715	98000
"csb.wikipedia"	0.00360217747963603	-0.0586726864278868	247000
"fur.wikipedia"	0.164000004769504	0.111750005067598	391000
"hsb.wikipedia"	0.000186571218323796	-0.0623017680805309	1100000
"kaa.wikipedia"	0.00433269874209159	-0.0578965075865276	83000
"ln.wikipedia"	0.0774395220879365	0.0197794922184324	110000
"mrj.wikipedia"	0.065461265685457	0.00705259479079801	103000
"ps.wikipedia"	0.0271849019783729	-0.0336160416479789	221000
"kab.wikipedia"	0.287051882598183	0.242492625260569	105000
"mdf.wikipedia"	0.0613131972850781	0.00264527211539545	67000
"ha.wikipedia"	0.311390219831307	0.268352108570763	98000
"pnt.wikipedia"	0.12488822295475	0.0701937368894218	83000
"sv.wikisource"	0.0748627534816109	0.0170416755742115	171000
"tl.wikibooks"	0.67233320546215	0.651854030803534	291000
"gag.wikipedia"	0.103742886200632	0.0477268165881714	230000
"nl.wikiquote"	0.0881298489617909	0.0311379645219028	152000
"pl.wikibooks"	0.197513939142259	0.147358560338651	1265000
"ru.wikivoyage"	0.305093519642791	0.261661864620465	212000
"szl.wikipedia"	0.0247074313334936	-0.0362483542081631	198000
"ta.wikinews"	0.0176901852206782	-0.0437041782030294	26000
"tl.wiktionary"	0.460375832889626	0.426649322445228	76000
"ro.wiktionary"	0.0909519005012764	0.0341363942826061	298000
"sr.wikiquote"	0.00752881057821414	-0.0545006387606475	47000
"ast.wiktionary"	0.0599822385386465	0.00123112844731199	59000
"az.wikibooks"	5.68296830955728e-05	-0.0624396184617109	46000
"eu.wiktionary"	0.0592388648304294	0.000441293882331273	105000
"hi.wiktionary"	0.0875517067294075	0.0305236883999954	132000
"uk.wiktionary"	0.114551125959598	0.0592105713320724	321000
"sv.wikibooks"	0.0537091920075039	-0.00543398349202717	122000
"sv.wikiquote"	0.0774692605267627	0.0198110893096854	78000
"ay.wikipedia"	0.00978199072692449	-0.0521066348526427	193000
"lbe.wikipedia"	0.030562627410634	-0.0300272083762014	68000
"th.wikibooks"	0.347324114855252	0.306531872033705	211000
"th.wikisource"	0.00583882663244625	-0.0562962467030259	213000
"bh.wikipedia"	0.109574772308343	0.0539231955776146	227000
"bjn.wikipedia"	0.0253864806522397	-0.0355268643069953	210000
"bxr.wikipedia"	0.568266588918346	0.541283250725743	249000
"chy.wikipedia"	0.110644516519432	0.0550597988018969	39000
"co.wikipedia"	0.113532993505567	0.058128805599665	537000
"eu.wikiquote"	0.16556584820303	0.113413713715719	28000
"ext.wikipedia"	0.0694061824189227	0.0112440688201054	142000
"frp.wikipedia"	0.00551082148165273	-0.0566447521757441	752000
"frr.wikipedia"	0.00019323565914445	-0.062294687112159	235000
"ga.wiktionary"	0.0712721810774313	0.0132266923947707	24000
