"type"	"N"
"mobile"	42
"desktop"	9
"desktop"	1
"mobile"	8
"mobile"	1
"mobile"	1
"desktop"	1
"desktop"	27
"desktop"	2
"mobile"	146
"mobile"	5
"desktop"	38
"mobile"	2
"desktop"	7
"desktop"	9
"mobile"	2
"desktop"	4
"desktop"	1
"desktop"	15
"desktop"	3
"mobile"	3
"mobile"	1
"desktop"	3
"mobile"	1
"mobile"	22
"mobile"	7
"mobile"	11
"mobile"	1
"desktop"	72
"mobile"	5
"mobile"	28
"mobile"	1
"desktop"	3
"mobile"	6
"desktop"	25
"mobile"	12
"mobile"	1
"desktop"	38
"desktop"	1
"mobile"	2
"mobile"	1
"mobile"	1
"mobile"	6
"mobile"	11
"desktop"	2
"mobile"	1
"mobile"	1
"mobile"	1
"mobile"	4
"mobile"	47
"mobile"	7
"desktop"	2
"desktop"	277
"desktop"	9
"desktop"	1
"desktop"	2
"desktop"	56
"mobile"	7
"desktop"	197
"mobile"	180
"mobile"	4
"desktop"	1
"desktop"	9
"desktop"	24
"mobile"	2
"mobile"	3
"desktop"	2
"desktop"	4
"mobile"	1
"desktop"	17
"mobile"	3
"mobile"	64
"mobile"	2
"mobile"	8
"mobile"	17
"desktop"	294
"mobile"	11
"mobile"	12
"desktop"	2
"mobile"	1
"mobile"	1
"mobile"	19
"mobile"	26
"mobile"	1
"desktop"	6
"mobile"	2
"desktop"	5
"mobile"	13
"mobile"	27
"desktop"	4
"mobile"	12
"desktop"	1
"desktop"	22
"mobile"	1
"mobile"	1
"mobile"	36
"mobile"	7
"mobile"	26
"desktop"	147
"desktop"	64
"desktop"	16
"mobile"	1
"mobile"	5
"mobile"	1
"desktop"	4
"desktop"	1
"desktop"	53
"desktop"	53
"mobile"	1
"mobile"	8
"desktop"	1
"mobile"	122
"desktop"	126
"desktop"	33
"mobile"	1
"desktop"	32
"mobile"	2
"mobile"	3
"mobile"	8
"mobile"	2
"mobile"	12
"mobile"	34
"desktop"	1
"desktop"	33
"mobile"	3
"mobile"	1
"desktop"	1
"desktop"	765
"desktop"	39
"mobile"	7
"mobile"	3
"mobile"	1
"mobile"	4
"mobile"	1
"mobile"	1
"mobile"	1
"desktop"	134
"mobile"	3
"mobile"	6
"mobile"	42
"mobile"	120
"desktop"	71
"mobile"	7
"mobile"	21
"mobile"	16
"mobile"	46
"desktop"	3
"desktop"	1
"desktop"	31
"mobile"	19
"mobile"	73
"mobile"	6
"mobile"	4
"mobile"	16
"desktop"	48
"desktop"	1
"desktop"	15
"mobile"	1
"desktop"	176
"desktop"	2
"desktop"	29
"desktop"	1
"mobile"	3
"mobile"	6
"desktop"	88
"desktop"	90
"desktop"	184
"desktop"	11
"mobile"	21
"mobile"	7
"desktop"	17
"mobile"	39
"mobile"	8
"mobile"	3
"desktop"	2
"mobile"	34
"mobile"	3
"desktop"	1
"desktop"	13
"mobile"	26
"mobile"	3
"desktop"	20
"mobile"	1
"mobile"	3
"desktop"	1
"desktop"	9
"mobile"	6
"desktop"	23
"mobile"	3
"desktop"	1
"mobile"	21
"mobile"	2
"mobile"	52
"mobile"	4
"mobile"	4
"desktop"	248
"desktop"	1
"mobile"	2
"mobile"	4
"desktop"	9
"mobile"	1
"desktop"	18
"desktop"	1
"mobile"	2
"desktop"	3
"mobile"	6
"desktop"	1
"mobile"	36
"mobile"	6
"mobile"	2
"mobile"	1
"mobile"	1
"desktop"	1
"mobile"	8
"mobile"	18
"mobile"	5
"mobile"	96
"mobile"	3
"mobile"	2
"mobile"	1
"mobile"	15
"mobile"	101
"mobile"	5
"desktop"	4
"desktop"	46
"mobile"	6
"mobile"	8
"mobile"	5
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	1
"desktop"	4
"mobile"	11
"mobile"	13
"desktop"	5
"mobile"	5
"desktop"	1
"desktop"	7
"mobile"	1
"desktop"	230
"mobile"	19
"mobile"	4
"mobile"	18
"mobile"	7
"desktop"	13
"desktop"	22
"mobile"	1
"mobile"	12
"mobile"	28
"desktop"	5
"mobile"	59
"desktop"	12
"mobile"	33
"desktop"	3
"desktop"	102
"mobile"	22
"desktop"	8
"mobile"	172
"mobile"	29
"mobile"	1
"desktop"	47
"mobile"	3
"desktop"	70
"mobile"	5
"desktop"	6
"desktop"	61
"desktop"	3
"mobile"	10
"mobile"	8
"desktop"	1
"mobile"	2
"mobile"	35
"desktop"	10
"desktop"	3
"desktop"	279
"mobile"	31
"mobile"	8
"desktop"	6
"mobile"	5
"desktop"	3
"mobile"	7
"mobile"	1
"mobile"	2
"mobile"	10
"mobile"	7
"mobile"	19
"mobile"	3
"mobile"	15
"mobile"	3
"desktop"	77
"mobile"	33
"mobile"	2
"mobile"	2
"mobile"	10
"desktop"	1
"desktop"	1
"mobile"	2
"mobile"	1
"desktop"	195
"mobile"	4
"mobile"	1
"desktop"	5
"mobile"	3
"mobile"	1
"mobile"	11
"desktop"	11
"mobile"	6
"desktop"	1
"mobile"	46
"desktop"	28
"desktop"	3
"mobile"	1
"mobile"	20
"desktop"	40
"desktop"	1
"mobile"	8
"mobile"	1
"mobile"	2
"mobile"	1
"mobile"	2
"desktop"	1
"desktop"	30
"desktop"	4
"desktop"	899
"desktop"	43
"mobile"	23
"mobile"	5
"desktop"	14
"mobile"	1
"desktop"	1
"desktop"	76
"desktop"	31
"mobile"	48
"desktop"	2
"desktop"	1
"mobile"	9
"mobile"	39
"mobile"	15
"desktop"	1
"mobile"	52
"mobile"	7
"mobile"	6
"mobile"	9
"mobile"	7
"desktop"	23
"desktop"	1
"mobile"	1
"mobile"	13
"mobile"	5
"mobile"	123
"desktop"	3
"mobile"	28
"desktop"	103
"desktop"	1
"mobile"	1
"mobile"	42
"desktop"	6
"mobile"	2
"mobile"	10
"desktop"	99
"desktop"	1
"mobile"	16
"desktop"	1
"mobile"	7
"mobile"	1
"mobile"	2
"desktop"	14
"desktop"	2
"mobile"	13
"mobile"	64
"desktop"	8
"desktop"	1
"mobile"	4
"desktop"	42
"mobile"	14
"mobile"	7
"desktop"	1
"mobile"	3
"desktop"	1
"mobile"	51
"desktop"	21
"mobile"	25
"mobile"	14
"desktop"	54
"mobile"	8
"mobile"	44
"desktop"	2
"mobile"	35
"desktop"	33
"mobile"	5
"mobile"	1
"desktop"	1
"desktop"	1
"desktop"	3
"mobile"	5
"mobile"	6
"mobile"	1
"mobile"	1
"desktop"	50
"mobile"	22
"desktop"	106
"mobile"	6
"desktop"	23
"desktop"	1
"mobile"	2
"mobile"	419
"mobile"	21
"mobile"	13
"desktop"	1
"mobile"	4
"mobile"	7
"desktop"	4
"mobile"	13
"mobile"	14
"desktop"	5
"desktop"	1
"mobile"	18
"mobile"	16
"mobile"	2
"mobile"	10
"mobile"	31
"mobile"	6
"desktop"	11
"mobile"	4
"mobile"	10
"mobile"	7
"mobile"	20
"mobile"	1
"desktop"	6
"mobile"	4
"mobile"	7
"mobile"	1
"mobile"	1
"mobile"	1
"mobile"	3
"mobile"	215
"mobile"	28
"desktop"	107
"mobile"	5
"desktop"	40
"desktop"	6
"mobile"	1
"desktop"	7
"desktop"	2
"mobile"	9
"mobile"	3
"desktop"	1
"mobile"	42
"mobile"	2
"mobile"	4
"desktop"	23
"desktop"	32
"mobile"	11
"mobile"	37
"mobile"	3
"mobile"	10
"mobile"	1
"desktop"	2
"mobile"	8
"mobile"	1
"mobile"	1
"mobile"	1
"mobile"	19
"desktop"	14
"desktop"	2
"mobile"	1
"desktop"	9
"mobile"	4
"desktop"	1
"mobile"	10
"mobile"	18
"mobile"	2
"desktop"	58
"mobile"	3
"mobile"	31
"desktop"	6
"mobile"	8
"mobile"	1
"desktop"	3
"mobile"	1
"mobile"	1
"mobile"	34
"mobile"	2
"desktop"	5
"desktop"	2
"mobile"	6
"mobile"	2
"mobile"	5
"mobile"	4
"desktop"	2
"mobile"	1
"mobile"	9
"desktop"	1
"mobile"	1
"desktop"	9
"mobile"	1
"desktop"	2
"mobile"	138
"desktop"	38
"mobile"	47
"mobile"	68
"mobile"	5
"mobile"	107
"mobile"	2
"mobile"	8
"desktop"	1
"mobile"	4
"desktop"	2
"desktop"	3
"desktop"	24
"mobile"	9
"desktop"	13
"desktop"	16
"desktop"	4
"desktop"	16
"desktop"	19
"mobile"	100
"desktop"	18
"mobile"	7
"mobile"	3
"mobile"	1
"mobile"	1
"mobile"	2
"mobile"	9
"desktop"	11
"desktop"	14
"desktop"	13
"desktop"	2
"desktop"	1
"mobile"	14
"desktop"	3
"desktop"	36
"mobile"	34
"mobile"	10
"mobile"	138
"desktop"	3
"mobile"	1
"desktop"	37
"desktop"	4
"mobile"	1
"desktop"	40
"desktop"	18
"mobile"	32
"mobile"	14
"desktop"	92
"desktop"	65
"mobile"	35
"mobile"	19
"desktop"	1
"mobile"	1
"desktop"	3
"desktop"	2
"mobile"	6
"desktop"	6
"mobile"	1
"mobile"	28
"desktop"	5
"desktop"	9
"mobile"	1
"mobile"	1
"desktop"	15
"desktop"	1
"mobile"	2
"mobile"	6
"mobile"	3
"desktop"	1
"desktop"	59
"desktop"	1
"mobile"	26
"desktop"	3
"mobile"	24
"desktop"	5
"mobile"	9
"desktop"	3
"mobile"	25
"mobile"	26
"desktop"	4
"desktop"	40
"desktop"	35
"desktop"	8
"mobile"	1
"desktop"	1
"desktop"	16
"mobile"	3
"desktop"	1
"mobile"	11
